alert_id,date_detected,date_resolved,severity,alert_type,mitre_tactic,detection_source,source_ip,destination_ip,target_system,department,analyst_assigned,status,is_true_positive,resolution_time_hours
ALT-00021,2026-01-30 18:44:34,2026-01-30 19:18:10,Medium,Port Scan,Reconnaissance,Firewall/IDS,91.79.110.246,10.0.24.88,Executive Laptop,Executive,Sara Alzahrani,False Positive,No,0.56
ALT-00022,2026-01-31 17:26:03,2026-02-02 23:48:15,Low,Brute Force Login,Credential Access,Wireshark,10.0.1.108,10.0.15.148,Domain Controller,IT,Omar Al-Dosari,Resolved,Yes,54.37
ALT-00023,2026-02-01 07:39:28,2026-02-01 17:34:04,High,C2 Communication,Command and Control,Proxy Logs,197.203.108.183,10.0.12.183,File Server,Operations,Omar Al-Dosari,Resolved,Yes,9.91
ALT-00024,2026-02-01 08:08:06,2026-02-02 05:43:30,Low,Unauthorized Access,Initial Access,EDR Agent,114.2.26.67,10.0.28.202,POS Terminal,Sales,Faisal Al-Qahtani,Resolved,Yes,21.59
ALT-00025,2026-02-01 09:15:04,2026-02-01 17:42:04,Medium,Phishing Email,Initial Access,Wireshark,96.240.210.185,10.0.10.115,VPN Gateway,IT,Faisal Al-Qahtani,Resolved,Yes,8.45
ALT-00026,2026-02-01 09:46:44,2026-02-01 14:25:08,Critical,Malware Detected,Execution,Wireshark,10.0.23.209,10.0.15.113,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,4.64
ALT-00027,2026-02-02 03:39:55,2026-02-04 06:39:55,Low,DDoS Traffic,Impact,Proxy Logs,198.147.24.238,10.0.12.101,Domain Controller,IT,Lama Al-Ghamdi,Resolved,Yes,51.0
ALT-00028,2026-02-03 13:53:52,2026-02-05 22:32:16,Low,Policy Violation,N/A,Firewall/IDS,162.200.98.158,10.0.20.102,Executive Laptop,Executive,Nouf Al-Harbi,Resolved,Yes,56.64
ALT-00029,2026-02-03 14:13:14,,High,Data Exfiltration Attempt,Exfiltration,Wireshark,10.0.25.235,10.0.14.107,Employee Workstation,Operations,Omar Al-Dosari,In Progress,Yes,
ALT-00030,2026-02-04 12:49:28,,Low,Phishing Email,Initial Access,Proxy Logs,88.77.168.232,10.0.12.149,Web Server 01,IT,Sara Alzahrani,In Progress,Yes,
ALT-00031,2026-02-04 16:19:23,2026-02-06 13:51:11,Medium,Policy Violation,N/A,Elastic SIEM,95.227.71.148,10.0.15.179,File Server,Operations,Faisal Al-Qahtani,Resolved,Yes,45.53
ALT-00032,2026-02-04 18:23:23,2026-02-04 21:14:23,Low,Port Scan,Reconnaissance,Email Gateway,10.0.24.21,10.0.18.37,Email Gateway,IT,Faisal Al-Qahtani,False Positive,No,2.85
ALT-00033,2026-02-05 03:06:15,2026-02-06 15:14:39,Medium,Policy Violation,N/A,Firewall/IDS,10.0.13.169,10.0.3.215,Database Server (SQL),IT,Lama Al-Ghamdi,Resolved,Yes,36.14
ALT-00034,2026-02-05 14:36:32,2026-02-06 07:10:08,Medium,Port Scan,Reconnaissance,EDR Agent,102.50.250.26,10.0.22.174,POS Terminal,Sales,Lama Al-Ghamdi,Resolved,Yes,16.56
ALT-00035,2026-02-06 12:26:54,2026-02-09 01:55:06,Low,Suspicious PowerShell,Execution,EDR Agent,10.0.2.176,10.0.13.131,Web Server 01,IT,Nouf Al-Harbi,Resolved,Yes,61.47
ALT-00036,2026-02-06 13:51:30,2026-02-09 02:15:30,Low,Policy Violation,N/A,Email Gateway,10.0.19.191,10.0.26.78,Executive Laptop,Executive,Faisal Al-Qahtani,Resolved,Yes,60.4
ALT-00037,2026-02-07 13:27:28,2026-02-07 14:55:40,High,Data Exfiltration Attempt,Exfiltration,EDR Agent,87.38.183.231,10.0.2.77,HR Portal,HR,Nouf Al-Harbi,Resolved,Yes,1.47
ALT-00038,2026-02-07 18:32:37,2026-02-07 21:00:49,Medium,Phishing Email,Initial Access,Elastic SIEM,10.0.3.237,10.0.19.54,Finance ERP App,Finance,Sara Alzahrani,Resolved,Yes,2.47
ALT-00039,2026-02-08 05:55:02,2026-02-08 12:41:14,Critical,C2 Communication,Command and Control,Elastic SIEM,154.131.25.94,10.0.7.157,Domain Controller,IT,Sara Alzahrani,Resolved,Yes,6.77
ALT-00040,2026-02-08 12:04:16,,Medium,Unauthorized Access,Initial Access,Firewall/IDS,50.64.163.221,10.0.4.194,VPN Gateway,IT,Faisal Al-Qahtani,In Progress,Yes,
ALT-00041,2026-02-10 15:09:03,2026-02-10 16:22:51,Critical,Unauthorized Access,Initial Access,Firewall/IDS,10.0.20.76,10.0.2.123,Employee Workstation,Operations,Lama Al-Ghamdi,Resolved,Yes,1.23
ALT-00042,2026-02-10 18:30:59,2026-02-14 01:30:59,Low,Policy Violation,N/A,Proxy Logs,10.0.21.155,10.0.19.227,Web Server 01,IT,Lama Al-Ghamdi,Resolved,Yes,79.0
ALT-00043,2026-02-11 18:28:50,2026-02-11 21:02:26,High,DDoS Traffic,Impact,Wireshark,10.0.16.184,10.0.24.214,VPN Gateway,IT,Nouf Al-Harbi,Resolved,Yes,2.56
ALT-00044,2026-02-12 11:59:39,2026-02-12 13:55:27,Critical,Data Exfiltration Attempt,Exfiltration,Wireshark,71.171.65.9,10.0.22.147,HR Portal,HR,Omar Al-Dosari,False Positive,No,1.93
ALT-00045,2026-02-13 10:25:17,2026-02-13 20:54:41,High,Malicious Macro,Execution,Proxy Logs,184.234.73.68,10.0.4.65,Executive Laptop,Executive,Nouf Al-Harbi,Resolved,Yes,10.49
ALT-00046,2026-02-14 15:29:26,2026-02-16 06:02:26,Medium,Malware Detected,Execution,Firewall/IDS,63.117.44.106,10.0.27.135,Domain Controller,IT,Lama Al-Ghamdi,Resolved,Yes,38.55
ALT-00047,2026-02-15 10:15:18,2026-02-16 15:16:30,Low,Brute Force Login,Credential Access,Proxy Logs,10.0.6.36,10.0.24.199,VPN Gateway,IT,Nouf Al-Harbi,Resolved,Yes,29.02
ALT-00048,2026-02-15 13:45:05,,Low,Policy Violation,N/A,Wireshark,176.81.186.96,10.0.29.74,Email Gateway,IT,Omar Al-Dosari,In Progress,Yes,
ALT-00049,2026-02-15 18:32:47,2026-02-16 02:17:47,Critical,Privilege Escalation,Privilege Escalation,Email Gateway,10.0.28.174,10.0.20.220,Domain Controller,IT,Faisal Al-Qahtani,Resolved,Yes,7.75
ALT-00050,2026-02-16 17:40:43,,High,Phishing Email,Initial Access,Firewall/IDS,10.0.24.108,10.0.19.154,Executive Laptop,Executive,Sara Alzahrani,In Progress,Yes,
ALT-00051,2026-02-16 17:54:14,,Low,Policy Violation,N/A,Wireshark,156.129.232.1,10.0.30.111,Finance ERP App,Finance,Sara Alzahrani,In Progress,Yes,
ALT-00052,2026-02-17 12:50:17,2026-02-17 13:37:05,Critical,Suspicious PowerShell,Execution,Elastic SIEM,10.0.9.21,10.0.20.223,Sales CRM,Sales,Nouf Al-Harbi,Resolved,Yes,0.78
ALT-00053,2026-02-17 16:06:43,2026-02-17 17:33:43,High,Data Exfiltration Attempt,Exfiltration,Firewall/IDS,10.0.30.154,10.0.21.230,POS Terminal,Sales,Nouf Al-Harbi,Resolved,Yes,1.45
ALT-00054,2026-02-18 11:29:58,2026-02-21 12:32:22,Low,DDoS Traffic,Impact,Proxy Logs,10.0.3.98,10.0.12.7,Employee Workstation,Operations,Lama Al-Ghamdi,Resolved,Yes,73.04
ALT-00055,2026-02-18 11:33:06,2026-02-21 03:58:54,Low,Malicious Macro,Execution,EDR Agent,65.212.54.197,10.0.20.149,Sales CRM,Sales,Faisal Al-Qahtani,Resolved,Yes,64.43
ALT-00056,2026-02-18 13:34:28,2026-02-18 15:35:40,High,Phishing Email,Initial Access,Proxy Logs,65.228.182.80,10.0.10.211,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,2.02
ALT-00057,2026-02-19 13:09:49,2026-02-19 13:53:01,High,Unauthorized Access,Initial Access,Proxy Logs,102.119.33.99,10.0.9.156,HR Portal,HR,Sara Alzahrani,False Positive,No,0.72
ALT-00058,2026-02-19 15:42:05,2026-02-20 01:59:29,Medium,Unauthorized Access,Initial Access,Email Gateway,10.0.30.238,10.0.12.198,File Server,Operations,Omar Al-Dosari,Resolved,Yes,10.29
ALT-00059,2026-02-20 03:32:49,,Low,Policy Violation,N/A,Elastic SIEM,172.192.78.42,10.0.5.214,Sales CRM,Sales,Nouf Al-Harbi,In Progress,Yes,
ALT-00060,2026-02-20 13:03:31,,High,Suspicious PowerShell,Execution,Firewall/IDS,49.116.1.12,10.0.27.222,Web Server 01,IT,Sara Alzahrani,In Progress,Yes,
ALT-00061,2026-02-21 09:17:04,2026-02-21 09:40:28,Critical,Unauthorized Access,Initial Access,EDR Agent,10.0.24.246,10.0.0.172,Domain Controller,IT,Omar Al-Dosari,False Positive,No,0.39
ALT-00062,2026-02-21 10:03:17,,High,Port Scan,Reconnaissance,Wireshark,10.0.12.214,10.0.0.33,Database Server (SQL),IT,Faisal Al-Qahtani,In Progress,Yes,
ALT-00063,2026-02-21 14:36:15,2026-02-21 17:56:39,Critical,Privilege Escalation,Privilege Escalation,Elastic SIEM,34.4.87.22,10.0.15.218,File Server,Operations,Sara Alzahrani,Resolved,Yes,3.34
ALT-00064,2026-02-21 15:39:00,2026-02-25 06:16:48,Low,Policy Violation,N/A,Firewall/IDS,167.140.251.47,10.0.24.236,Database Server (SQL),IT,Lama Al-Ghamdi,Resolved,Yes,86.63
ALT-00065,2026-02-25 09:22:35,2026-02-25 19:46:35,High,C2 Communication,Command and Control,Wireshark,10.0.21.57,10.0.14.211,POS Terminal,Sales,Sara Alzahrani,Resolved,Yes,10.4
ALT-00066,2026-02-25 10:49:37,2026-02-25 15:13:37,High,Privilege Escalation,Privilege Escalation,EDR Agent,202.103.232.24,10.0.8.84,VPN Gateway,IT,Nouf Al-Harbi,Resolved,Yes,4.4
ALT-00067,2026-02-25 17:27:05,2026-02-26 01:45:05,High,Malicious Macro,Execution,Elastic SIEM,177.146.29.243,10.0.24.211,HR Portal,HR,Lama Al-Ghamdi,Resolved,Yes,8.3
ALT-00068,2026-02-27 14:29:49,2026-03-01 18:20:13,Low,DDoS Traffic,Impact,Proxy Logs,66.160.5.173,10.0.0.214,POS Terminal,Sales,Lama Al-Ghamdi,Escalated,Yes,51.84
ALT-00069,2026-02-28 11:20:31,2026-02-28 23:06:43,High,Data Exfiltration Attempt,Exfiltration,Firewall/IDS,129.86.2.81,10.0.7.203,File Server,Operations,Lama Al-Ghamdi,Resolved,Yes,11.77
ALT-00070,2026-02-28 13:09:00,2026-02-28 15:48:00,Critical,C2 Communication,Command and Control,EDR Agent,195.196.57.126,10.0.5.30,VPN Gateway,IT,Faisal Al-Qahtani,Resolved,Yes,2.65
ALT-00071,2026-02-28 13:54:22,2026-03-01 09:23:46,High,Suspicious PowerShell,Execution,Proxy Logs,10.0.17.77,10.0.26.162,Email Gateway,IT,Omar Al-Dosari,Resolved,Yes,19.49
ALT-00072,2026-02-28 18:38:51,2026-03-03 11:30:27,Low,Malicious Macro,Execution,Elastic SIEM,10.0.20.89,10.0.0.219,Executive Laptop,Executive,Nouf Al-Harbi,Resolved,Yes,64.86
ALT-00073,2026-03-01 01:31:14,2026-03-01 02:18:38,Medium,Phishing Email,Initial Access,Wireshark,104.192.105.103,10.0.5.213,POS Terminal,Sales,Omar Al-Dosari,False Positive,No,0.79
ALT-00074,2026-03-02 10:05:04,2026-03-02 13:05:40,Medium,Data Exfiltration Attempt,Exfiltration,EDR Agent,10.0.30.162,10.0.2.55,Domain Controller,IT,Sara Alzahrani,Resolved,Yes,3.01
ALT-00075,2026-03-02 11:07:48,2026-03-03 18:41:24,Medium,Brute Force Login,Credential Access,Email Gateway,10.0.29.170,10.0.26.179,VPN Gateway,IT,Lama Al-Ghamdi,Resolved,Yes,31.56
ALT-00076,2026-03-02 12:27:13,2026-03-03 14:21:49,Medium,Policy Violation,N/A,Firewall/IDS,112.147.20.22,10.0.10.128,Employee Workstation,Operations,Sara Alzahrani,Resolved,Yes,25.91
ALT-00077,2026-03-02 15:11:17,2026-03-04 11:49:41,Medium,Phishing Email,Initial Access,EDR Agent,10.0.13.56,10.0.4.103,Sales CRM,Sales,Nouf Al-Harbi,Resolved,Yes,44.64
ALT-00078,2026-03-02 15:17:44,2026-03-03 17:54:20,Medium,Suspicious PowerShell,Execution,Elastic SIEM,10.0.3.74,10.0.8.34,HR Portal,HR,Faisal Al-Qahtani,Resolved,Yes,26.61
ALT-00079,2026-03-02 18:59:02,,Critical,Malware Detected,Execution,Firewall/IDS,22.54.173.219,10.0.22.23,Employee Workstation,Operations,Faisal Al-Qahtani,In Progress,Yes,
ALT-00080,2026-03-04 08:19:42,2026-03-04 10:27:30,High,Privilege Escalation,Privilege Escalation,Elastic SIEM,10.0.30.90,10.0.16.134,Web Server 01,IT,Sara Alzahrani,False Positive,No,2.13
ALT-00081,2026-03-04 08:30:22,2026-03-06 07:08:10,Medium,Brute Force Login,Credential Access,EDR Agent,10.0.9.9,10.0.23.210,Web Server 01,IT,Lama Al-Ghamdi,Resolved,Yes,46.63
ALT-00082,2026-03-04 14:30:19,2026-03-04 15:44:07,Medium,Data Exfiltration Attempt,Exfiltration,Wireshark,10.0.16.224,10.0.13.5,Sales CRM,Sales,Omar Al-Dosari,False Positive,No,1.23
ALT-00083,2026-03-04 15:26:33,2026-03-04 15:54:45,Low,Policy Violation,N/A,Email Gateway,10.0.18.17,10.0.25.250,Web Server 01,IT,Nouf Al-Harbi,False Positive,No,0.47
ALT-00084,2026-03-04 17:47:19,2026-03-08 16:24:31,Low,DDoS Traffic,Impact,Wireshark,37.243.188.46,10.0.0.174,Database Server (SQL),IT,Lama Al-Ghamdi,Resolved,Yes,94.62
ALT-00085,2026-03-04 18:38:23,2026-03-04 19:55:11,High,Unauthorized Access,Initial Access,Email Gateway,103.29.5.211,10.0.11.58,POS Terminal,Sales,Nouf Al-Harbi,False Positive,No,1.28
ALT-00086,2026-03-04 20:06:43,2026-03-05 14:50:31,Low,Malware Detected,Execution,Wireshark,138.118.207.162,10.0.5.49,POS Terminal,Sales,Lama Al-Ghamdi,Resolved,Yes,18.73
ALT-00087,2026-03-04 22:11:00,2026-03-05 21:09:12,Low,Policy Violation,N/A,Elastic SIEM,10.0.17.67,10.0.27.194,HR Portal,HR,Sara Alzahrani,Resolved,Yes,22.97
ALT-00088,2026-03-05 09:47:54,2026-03-06 13:34:42,Medium,C2 Communication,Command and Control,EDR Agent,22.103.144.66,10.0.25.19,VPN Gateway,IT,Sara Alzahrani,Resolved,Yes,27.78
ALT-00089,2026-03-05 10:06:13,2026-03-05 12:15:13,Low,Policy Violation,N/A,Email Gateway,10.0.30.164,10.0.0.207,HR Portal,HR,Lama Al-Ghamdi,False Positive,No,2.15
ALT-00090,2026-03-05 10:23:44,2026-03-05 19:26:08,High,Malware Detected,Execution,Email Gateway,157.88.85.126,10.0.9.37,VPN Gateway,IT,Faisal Al-Qahtani,Resolved,Yes,9.04
ALT-00091,2026-03-05 10:44:14,2026-03-05 13:06:26,High,Brute Force Login,Credential Access,Elastic SIEM,10.0.24.125,10.0.24.112,Web Server 01,IT,Omar Al-Dosari,False Positive,No,2.37
ALT-00092,2026-03-05 18:37:37,2026-03-05 21:59:13,Critical,Suspicious PowerShell,Execution,Email Gateway,10.0.1.224,10.0.27.40,Domain Controller,IT,Sara Alzahrani,Escalated,Yes,3.36
ALT-00093,2026-03-06 09:52:01,2026-03-06 11:50:49,Low,Privilege Escalation,Privilege Escalation,Wireshark,180.97.44.78,10.0.24.120,Email Gateway,IT,Omar Al-Dosari,False Positive,No,1.98
ALT-00094,2026-03-06 14:49:49,2026-03-06 17:27:01,High,Phishing Email,Initial Access,Firewall/IDS,10.0.24.108,10.0.11.163,Database Server (SQL),IT,Nouf Al-Harbi,Resolved,Yes,2.62
ALT-00095,2026-03-08 04:04:33,2026-03-08 06:10:33,Critical,Suspicious PowerShell,Execution,Wireshark,125.226.111.23,10.0.28.27,File Server,Operations,Omar Al-Dosari,Resolved,Yes,2.1
ALT-00096,2026-03-08 16:55:58,2026-03-12 07:52:58,Low,Policy Violation,N/A,Email Gateway,156.60.47.124,10.0.21.35,Web Server 01,IT,Sara Alzahrani,Resolved,Yes,86.95
ALT-00097,2026-03-08 17:39:17,2026-03-08 20:51:17,Medium,Suspicious PowerShell,Execution,Email Gateway,10.0.24.124,10.0.4.130,Domain Controller,IT,Faisal Al-Qahtani,Resolved,Yes,3.2
ALT-00098,2026-03-09 13:48:25,2026-03-09 18:27:25,Critical,Unauthorized Access,Initial Access,Email Gateway,10.0.16.117,10.0.24.142,Email Gateway,IT,Lama Al-Ghamdi,Resolved,Yes,4.65
ALT-00099,2026-03-10 13:35:10,2026-03-10 20:26:46,Critical,Data Exfiltration Attempt,Exfiltration,Elastic SIEM,60.8.249.21,10.0.0.3,Executive Laptop,Executive,Faisal Al-Qahtani,Resolved,Yes,6.86
ALT-00100,2026-03-10 14:22:27,2026-03-13 01:39:51,Low,Unauthorized Access,Initial Access,Firewall/IDS,92.13.154.53,10.0.16.157,Domain Controller,IT,Sara Alzahrani,Resolved,Yes,59.29
ALT-00101,2026-03-10 14:36:57,2026-03-10 19:50:45,Critical,Data Exfiltration Attempt,Exfiltration,Wireshark,10.0.20.16,10.0.0.117,POS Terminal,Sales,Sara Alzahrani,Resolved,Yes,5.23
ALT-00102,2026-03-10 15:15:55,2026-03-10 16:56:07,Medium,Malicious Macro,Execution,Elastic SIEM,10.0.2.239,10.0.24.219,Sales CRM,Sales,Sara Alzahrani,False Positive,No,1.67
ALT-00103,2026-03-10 16:33:46,2026-03-11 11:07:58,Medium,Suspicious PowerShell,Execution,EDR Agent,130.20.198.62,10.0.6.158,HR Portal,HR,Faisal Al-Qahtani,Resolved,Yes,18.57
ALT-00104,2026-03-10 16:43:39,2026-03-12 15:22:03,Medium,DDoS Traffic,Impact,Wireshark,104.229.67.53,10.0.20.37,VPN Gateway,IT,Lama Al-Ghamdi,Resolved,Yes,46.64
ALT-00105,2026-03-11 08:08:31,2026-03-14 10:12:07,Low,Brute Force Login,Credential Access,Firewall/IDS,10.0.10.113,10.0.28.44,VPN Gateway,IT,Nouf Al-Harbi,Resolved,Yes,74.06
ALT-00106,2026-03-11 09:19:55,2026-03-11 10:10:55,High,Privilege Escalation,Privilege Escalation,Email Gateway,43.219.175.247,10.0.24.78,VPN Gateway,IT,Faisal Al-Qahtani,False Positive,No,0.85
ALT-00107,2026-03-11 11:47:41,2026-03-13 10:59:41,Medium,Phishing Email,Initial Access,Elastic SIEM,63.28.49.92,10.0.15.47,Executive Laptop,Executive,Faisal Al-Qahtani,Resolved,Yes,47.2
ALT-00108,2026-03-11 21:27:08,,High,Malicious Macro,Execution,EDR Agent,136.217.230.99,10.0.11.59,VPN Gateway,IT,Lama Al-Ghamdi,In Progress,Yes,
ALT-00109,2026-03-12 08:00:06,2026-03-12 23:21:42,Low,Port Scan,Reconnaissance,EDR Agent,98.250.48.136,10.0.11.181,Domain Controller,IT,Sara Alzahrani,Escalated,Yes,15.36
ALT-00110,2026-03-12 09:10:57,2026-03-13 07:51:45,Medium,Malware Detected,Execution,EDR Agent,10.0.9.147,10.0.26.215,Database Server (SQL),IT,Omar Al-Dosari,Resolved,Yes,22.68
ALT-00111,2026-03-12 10:22:10,2026-03-12 16:54:34,High,Phishing Email,Initial Access,Proxy Logs,39.99.93.196,10.0.3.155,VPN Gateway,IT,Nouf Al-Harbi,Resolved,Yes,6.54
ALT-00112,2026-03-12 11:33:40,2026-03-12 20:32:28,High,Phishing Email,Initial Access,Email Gateway,25.149.96.17,10.0.0.225,File Server,Operations,Faisal Al-Qahtani,Resolved,Yes,8.98
ALT-00113,2026-03-12 13:09:24,2026-03-14 11:17:48,Medium,Data Exfiltration Attempt,Exfiltration,Elastic SIEM,10.0.2.84,10.0.4.48,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,46.14
ALT-00114,2026-03-13 14:26:21,2026-03-16 17:15:33,Low,Policy Violation,N/A,Wireshark,25.194.244.2,10.0.30.92,Email Gateway,IT,Omar Al-Dosari,Resolved,Yes,74.82
ALT-00115,2026-03-14 08:51:31,2026-03-16 03:20:19,Medium,Suspicious PowerShell,Execution,Elastic SIEM,83.104.53.122,10.0.0.215,Employee Workstation,Operations,Sara Alzahrani,Resolved,Yes,42.48
ALT-00116,2026-03-14 09:10:00,2026-03-15 15:40:36,Low,Port Scan,Reconnaissance,EDR Agent,10.0.27.118,10.0.2.177,Executive Laptop,Executive,Nouf Al-Harbi,Resolved,Yes,30.51
ALT-00117,2026-03-14 09:38:54,2026-03-14 18:41:54,Medium,Port Scan,Reconnaissance,Email Gateway,10.0.11.79,10.0.9.126,HR Portal,HR,Nouf Al-Harbi,Resolved,Yes,9.05
ALT-00118,2026-03-14 11:30:25,2026-03-14 14:34:37,High,Unauthorized Access,Initial Access,Wireshark,132.82.71.91,10.0.23.113,VPN Gateway,IT,Lama Al-Ghamdi,Escalated,Yes,3.07
ALT-00119,2026-03-14 13:49:36,2026-03-14 14:04:00,High,Suspicious PowerShell,Execution,Wireshark,10.0.14.171,10.0.13.126,Email Gateway,IT,Faisal Al-Qahtani,False Positive,No,0.24
ALT-00120,2026-03-14 14:31:19,,Critical,C2 Communication,Command and Control,Elastic SIEM,10.0.5.46,10.0.26.222,Email Gateway,IT,Nouf Al-Harbi,In Progress,Yes,
ALT-00121,2026-03-16 14:30:30,2026-03-19 10:15:30,Low,Policy Violation,N/A,Proxy Logs,10.0.0.145,10.0.25.230,Web Server 01,IT,Omar Al-Dosari,Resolved,Yes,67.75
ALT-00122,2026-03-16 18:17:44,2026-03-17 07:33:20,Medium,DDoS Traffic,Impact,Proxy Logs,89.112.166.216,10.0.24.200,Executive Laptop,Executive,Faisal Al-Qahtani,Resolved,Yes,13.26
ALT-00123,2026-03-17 09:33:32,2026-03-17 18:17:56,Medium,C2 Communication,Command and Control,Firewall/IDS,10.0.19.41,10.0.24.196,HR Portal,HR,Faisal Al-Qahtani,Resolved,Yes,8.74
ALT-00124,2026-03-17 11:58:23,2026-03-19 06:00:47,Medium,Malware Detected,Execution,EDR Agent,10.0.11.87,10.0.26.37,POS Terminal,Sales,Lama Al-Ghamdi,Resolved,Yes,42.04
ALT-00125,2026-03-18 06:51:12,2026-03-18 13:31:24,Critical,Malware Detected,Execution,Proxy Logs,10.0.19.68,10.0.10.235,Employee Workstation,Operations,Omar Al-Dosari,Resolved,Yes,6.67
ALT-00126,2026-03-18 08:12:54,2026-03-20 19:22:30,Low,DDoS Traffic,Impact,Firewall/IDS,79.86.18.93,10.0.7.169,Sales CRM,Sales,Faisal Al-Qahtani,Resolved,Yes,59.16
ALT-00127,2026-03-18 13:00:24,2026-03-18 14:10:36,High,C2 Communication,Command and Control,Proxy Logs,10.0.6.107,10.0.9.198,Employee Workstation,Operations,Nouf Al-Harbi,False Positive,No,1.17
ALT-00128,2026-03-18 18:42:05,2026-03-18 20:05:29,Medium,Data Exfiltration Attempt,Exfiltration,EDR Agent,10.0.3.23,10.0.3.127,File Server,Operations,Nouf Al-Harbi,False Positive,No,1.39
ALT-00129,2026-03-18 23:11:21,2026-03-20 19:04:45,Medium,Policy Violation,N/A,Elastic SIEM,10.0.21.37,10.0.12.169,Domain Controller,IT,Faisal Al-Qahtani,Escalated,Yes,43.89
